,Kabupaten / Kota,Tahun,TPAK Perempuan
294,3307 Kabupaten Wonosobo,2022,60.79
295,3308 Kabupaten Magelang,2022,72.78
296,3309 Kabupaten Boyolali,2022,66.34
297,3310 Kabupaten Klaten,2022,56.96
298,3311 Kabupaten Sukoharjo,2022,58.14
299,3312 Kabupaten Wonogiri,2022,64.68
300,3313 Kabupaten Karanganyar,2022,57.62
301,3314 Kabupaten Sragen,2022,58.1
302,3315 Kabupaten Grobogan,2022,57.94
303,3316 Kabupaten Blora,2022,63.77
304,3317 Kabupaten Rembang,2022,61.82
305,3318 Kabupaten Pati,2022,57.88
306,3319 Kabupaten Kudus,2022,59.99
307,3320 Kabupaten Jepara,2022,52.85
308,3321 Kabupaten Demak,2022,52.29
309,3322 Kabupaten Semarang,2022,66.87
310,3323 Kabupaten Temanggung,2022,65.26
311,3324 Kabupaten Kendal,2022,61.44
312,3325 Kabupaten Batang,2022,61.51
313,3326 Kabupaten Pekalongan,2022,58.01
314,3327 Kabupaten Pemalang,2022,55.78
315,3328 Kabupaten Tegal,2022,51.63
316,3329 Kabupaten Brebes,2022,51.69
317,3371 Kota Magelang,2022,58.3
318,3372 Kota Surakarta,2022,58.25
319,3373 Kota Salatiga,2022,63.23
320,3374 Kota Semarang,2022,58.59
321,3375 Kota Pekalongan,2022,57.47
322,3376 Kota Tegal,2022,53.62
323,3300 Provinsi Jawa Tengah,2022,58.31
324,3301 Kabupaten Cilacap,2023,48.11
325,3302 Kabupaten Banyumas,2023,46.08
326,3303 Kabupaten Purbalingga,2023,62.14
327,3304 Kabupaten Banjarnegara,2023,56.74
328,3305 Kabupaten Kebumen,2023,62.49
329,3306 Kabupaten Purworejo,2023,63.86
330,3307 Kabupaten Wonosobo,2023,59.77
331,3308 Kabupaten Magelang,2023,71.27
332,3309 Kabupaten Boyolali,2023,63.99
333,3310 Kabupaten Klaten,2023,52.69
334,3311 Kabupaten Sukoharjo,2023,57.05
335,3312 Kabupaten Wonogiri,2023,74.8
336,3313 Kabupaten Karanganyar,2023,59.88
337,3314 Kabupaten Sragen,2023,58.37
338,3315 Kabupaten Grobogan,2023,62.7
339,3316 Kabupaten Blora,2023,68.88
340,3317 Kabupaten Rembang,2023,58.22
341,3318 Kabupaten Pati,2023,59.62
342,3319 Kabupaten Kudus,2023,63.47
343,3320 Kabupaten Jepara,2023,57.81
344,3321 Kabupaten Demak,2023,57.99
345,3322 Kabupaten Semarang,2023,66.37
346,3323 Kabupaten Temanggung,2023,65.91
347,3324 Kabupaten Kendal,2023,65.11
348,3325 Kabupaten Batang,2023,64.71
349,3326 Kabupaten Pekalongan,2023,56.27
350,3327 Kabupaten Pemalang,2023,52.33
351,3328 Kabupaten Tegal,2023,52.36
352,3329 Kabupaten Brebes,2023,50.08
353,3371 Kota Magelang,2023,61.1
354,3372 Kota Surakarta,2023,57.66
355,3373 Kota Salatiga,2023,62.98
356,3374 Kota Semarang,2023,60.64
357,3375 Kota Pekalongan,2023,63.96
358,3376 Kota Tegal,2023,50.89
359,3300 Provinsi Jawa Tengah,2023,58.92
