,Kabupaten / Kota,Tahun,TPAK Laki-laki
296,3309 Kabupaten Boyolali,2022,85.12
297,3310 Kabupaten Klaten,2022,81.01
298,3311 Kabupaten Sukoharjo,2022,76.88
299,3312 Kabupaten Wonogiri,2022,85.85
300,3313 Kabupaten Karanganyar,2022,84.24
301,3314 Kabupaten Sragen,2022,81.38
302,3315 Kabupaten Grobogan,2022,86.63
303,3316 Kabupaten Blora,2022,86.95
304,3317 Kabupaten Rembang,2022,86.37
305,3318 Kabupaten Pati,2022,86.38
306,3319 Kabupaten Kudus,2022,82.5
307,3320 Kabupaten Jepara,2022,86.89
308,3321 Kabupaten Demak,2022,82.16
309,3322 Kabupaten Semarang,2022,84.42
310,3323 Kabupaten Temanggung,2022,87
311,3324 Kabupaten Kendal,2022,85.1
312,3325 Kabupaten Batang,2022,88.4
313,3326 Kabupaten Pekalongan,2022,83.1
314,3327 Kabupaten Pemalang,2022,84.56
315,3328 Kabupaten Tegal,2022,79.84
316,3329 Kabupaten Brebes,2022,80.3
317,3371 Kota Magelang,2022,77.24
318,3372 Kota Surakarta,2022,78.78
319,3373 Kota Salatiga,2022,79.25
320,3374 Kota Semarang,2022,84.03
321,3375 Kota Pekalongan,2022,83.41
322,3376 Kota Tegal,2022,84.1
323,3300 Provinsi Jawa Tengah,2022,83.74
324,3301 Kabupaten Cilacap,2023,85
325,3302 Kabupaten Banyumas,2023,83.1
326,3303 Kabupaten Purbalingga,2023,84.58
327,3304 Kabupaten Banjarnegara,2023,86.15
328,3305 Kabupaten Kebumen,2023,86.37
329,3306 Kabupaten Purworejo,2023,85.74
330,3307 Kabupaten Wonosobo,2023,86.96
331,3308 Kabupaten Magelang,2023,87.58
332,3309 Kabupaten Boyolali,2023,85.48
333,3310 Kabupaten Klaten,2023,81.06
334,3311 Kabupaten Sukoharjo,2023,78.4
335,3312 Kabupaten Wonogiri,2023,90.21
336,3313 Kabupaten Karanganyar,2023,81.7
337,3314 Kabupaten Sragen,2023,79.05
338,3315 Kabupaten Grobogan,2023,88.96
339,3316 Kabupaten Blora,2023,87.24
340,3317 Kabupaten Rembang,2023,87.26
341,3318 Kabupaten Pati,2023,86.82
342,3319 Kabupaten Kudus,2023,81.09
343,3320 Kabupaten Jepara,2023,85.31
344,3321 Kabupaten Demak,2023,83.43
345,3322 Kabupaten Semarang,2023,85.98
346,3323 Kabupaten Temanggung,2023,85.7
347,3324 Kabupaten Kendal,2023,88.63
348,3325 Kabupaten Batang,2023,88.45
349,3326 Kabupaten Pekalongan,2023,84.29
350,3327 Kabupaten Pemalang,2023,86.5
351,3328 Kabupaten Tegal,2023,82.59
352,3329 Kabupaten Brebes,2023,81.78
353,3371 Kota Magelang,2023,78.45
354,3372 Kota Surakarta,2023,81.27
355,3373 Kota Salatiga,2023,81.58
356,3374 Kota Semarang,2023,78.56
357,3375 Kota Pekalongan,2023,83.82
358,3376 Kota Tegal,2023,82.3
359,3300 Provinsi Jawa Tengah,2023,84.52
