,Kabupaten / Kota,Tahun,IDG
256,3304 Kabupaten Banjarnegara,2022,28.33
257,3305 Kabupaten Kebumen,2022,25.2
258,3306 Kabupaten Purworejo,2022,34.46
259,3307 Kabupaten Wonosobo,2022,24.32
260,3308 Kabupaten Magelang,2022,37.25
261,3309 Kabupaten Boyolali,2022,41.7
262,3310 Kabupaten Klaten,2022,37.45
263,3311 Kabupaten Sukoharjo,2022,40.98
264,3312 Kabupaten Wonogiri,2022,38.98
265,3313 Kabupaten Karanganyar,2022,38.12
266,3314 Kabupaten Sragen,2022,36.37
267,3315 Kabupaten Grobogan,2022,26.06
268,3316 Kabupaten Blora,2022,33.67
269,3317 Kabupaten Rembang,2022,32.5
270,3318 Kabupaten Pati,2022,31.68
271,3319 Kabupaten Kudus,2022,40.71
272,3320 Kabupaten Jepara,2022,24.11
273,3321 Kabupaten Demak,2022,38.35
274,3322 Kabupaten Semarang,2022,46.2
275,3323 Kabupaten Temanggung,2022,40.9
276,3324 Kabupaten Kendal,2022,34.75
277,3325 Kabupaten Batang,2022,27.96
278,3326 Kabupaten Pekalongan,2022,25.84
279,3327 Kabupaten Pemalang,2022,34.78
280,3328 Kabupaten Tegal,2022,29.25
281,3329 Kabupaten Brebes,2022,24.92
282,3371 Kota Magelang,2022,41.84
283,3372 Kota Surakarta,2022,43.85
284,3373 Kota Salatiga,2022,40.4
285,3374 Kota Semarang,2022,38.05
286,3375 Kota Pekalongan,2022,28.04
287,3376 Kota Tegal,2022,29.86
288,3300 PROVINSI JAWA TENGAH,2023,35.21
289,3301 Kabupaten Cilacap,2023,26.42
290,3302 Kabupaten Banyumas,2023,31.7
291,3303 Kabupaten Purbalingga,2023,31.05
292,3304 Kabupaten Banjarnegara,2023,29.19
293,3305 Kabupaten Kebumen,2023,26.1
294,3306 Kabupaten Purworejo,2023,35.6
295,3307 Kabupaten Wonosobo,2023,24.3
296,3308 Kabupaten Magelang,2023,37.55
297,3309 Kabupaten Boyolali,2023,41.66
298,3310 Kabupaten Klaten,2023,37.19
299,3311 Kabupaten Sukoharjo,2023,41.93
300,3312 Kabupaten Wonogiri,2023,38.96
301,3313 Kabupaten Karanganyar,2023,38.91
302,3314 Kabupaten Sragen,2023,37.32
303,3315 Kabupaten Grobogan,2023,26.02
304,3316 Kabupaten Blora,2023,35.09
305,3317 Kabupaten Rembang,2023,32.49
306,3318 Kabupaten Pati,2023,31.67
307,3319 Kabupaten Kudus,2023,41.87
308,3320 Kabupaten Jepara,2023,24.05
309,3321 Kabupaten Demak,2023,38.32
310,3322 Kabupaten Semarang,2023,47.36
311,3323 Kabupaten Temanggung,2023,41.76
312,3324 Kabupaten Kendal,2023,34.54
313,3325 Kabupaten Batang,2023,28.36
314,3326 Kabupaten Pekalongan,2023,25.82
315,3327 Kabupaten Pemalang,2023,34.77
316,3328 Kabupaten Tegal,2023,30.01
317,3329 Kabupaten Brebes,2023,25.17
318,3371 Kota Magelang,2023,42.42
319,3372 Kota Surakarta,2023,45.55
320,3373 Kota Salatiga,2023,41.65
321,3374 Kota Semarang,2023,37.93
322,3375 Kota Pekalongan,2023,28.56
323,3376 Kota Tegal,2023,30.73
