,Kabupaten / Kota,Tahun,Perempuan Tenaga Profesional
291,3372 Kota Surakarta,2022,57.17
292,3373 Kota Salatiga,2022,53.22
293,3374 Kota Semarang,2022,49.78
294,3375 Kota Pekalongan,2022,54.65
295,3376 Kota Tegal,2022,45.53
297,3300 PROVINSI JAWA TENGAH,2023,51
298,3301 Kabupaten Cilacap,2023,40.97
299,3302 Kabupaten Banyumas,2023,51.06
300,3303 Kabupaten Purbalingga,2023,54.23
301,3304 Kabupaten Banjarnegara,2023,48.49
302,3305 Kabupaten Kebumen,2023,56.04
303,3306 Kabupaten Purworejo,2023,59.14
304,3307 Kabupaten Wonosobo,2023,44.66
305,3308 Kabupaten Magelang,2023,55.53
306,3309 Kabupaten Boyolali,2023,49.22
307,3310 Kabupaten Klaten,2023,50.09
308,3311 Kabupaten Sukoharjo,2023,52.4
309,3312 Kabupaten Wonogiri,2023,49.49
310,3313 Kabupaten Karanganyar,2023,54.76
311,3314 Kabupaten Sragen,2023,49.37
312,3315 Kabupaten Grobogan,2023,51
313,3316 Kabupaten Blora,2023,52.17
314,3317 Kabupaten Rembang,2023,46.62
315,3318 Kabupaten Pati,2023,53.32
316,3319 Kabupaten Kudus,2023,49.49
317,3320 Kabupaten Jepara,2023,46.39
318,3321 Kabupaten Demak,2023,59.92
319,3322 Kabupaten Semarang,2023,52.26
320,3323 Kabupaten Temanggung,2023,50.16
321,3324 Kabupaten Kendal,2023,52.99
322,3325 Kabupaten Batang,2023,59.02
323,3326 Kabupaten Pekalongan,2023,54.99
324,3327 Kabupaten Pemalang,2023,44.82
325,3328 Kabupaten Tegal,2023,56.96
326,3329 Kabupaten Brebes,2023,44.99
327,3371 Kota Magelang,2023,59.55
328,3372 Kota Surakarta,2023,46.57
329,3373 Kota Salatiga,2023,54.89
330,3374 Kota Semarang,2023,48.76
331,3375 Kota Pekalongan,2023,53.17
332,3376 Kota Tegal,2023,49.8
